client_id,name,age,country,income,risk_profile
91,Bryan Woodard,23,France,21270,low
92,Michael Bernard,76,France,20535,high
93,Michael Smith,63,France,22151,low
94,Linda Walton,62,France,40672,high
95,Marilyn Clark,53,France,108383,high
96,Jose Vaughn,79,France,110908,medium
97,Edward Vaughan Jr.,20,France,55438,low
98,Heather Miranda,58,France,17100,low
99,Teresa Hopkins,53,France,104463,low
100,Christopher Williams,81,France,24609,high
101,James Christensen,59,France,15660,medium
102,Michael Alexander,64,France,49310,medium
103,Jamie Stout,85,France,48486,low
104,Jacqueline Ruiz,53,France,30582,medium
105,Eric Peterson,66,France,70429,medium
106,Tabitha Zimmerman,56,France,113580,low
107,Cheryl Barajas,26,France,105356,high
108,Teresa Steele,26,France,32994,medium
109,David Hayden,39,France,55808,high
110,April Adams,70,France,92285,low
111,Karen May,55,France,68292,medium
112,Brian Robertson,57,France,88164,low
113,Sarah Hodge,29,France,80803,high
114,Summer Andrade,61,France,110167,low
115,Andrea Mills,57,France,77907,low
116,Randy Hunt,29,France,73028,low
117,Ashley Ferrell,19,France,43134,high
118,Mrs. Karen Scott,38,France,92066,high
119,Christopher Green,52,France,71695,medium
120,Tommy Armstrong,20,France,105787,high
121,Lucas George,65,France,34177,low
122,Sarah Greer,60,France,89505,medium
123,Jose Guerrero,25,France,68529,low
124,Joshua Lopez,45,France,32484,medium
125,Susan Ayers,26,France,37968,low
126,Christopher Levine,56,France,52422,high
127,Sharon Williams,67,France,114201,low
128,Hailey King,36,France,99738,medium
129,Erin Wood,31,France,70236,high
130,Martin Scott,82,France,31089,low
131,Shari Smith,72,France,84926,high
132,Deanna Zimmerman,32,France,77836,low
133,Todd Sanchez,29,France,83033,high
134,Marcus Johnson,38,France,23202,high
135,Mary Carlson,36,France,92331,low
136,James Decker,59,France,106435,medium
137,Mr. Kevin Obrien IV,79,France,111895,low
138,Makayla May,80,France,69010,medium
139,Stacey Maddox,22,France,76597,low
140,Ronald Vasquez,62,France,88125,low
141,Luis Gutierrez,80,France,52764,medium
142,Phillip Johnson,26,France,70755,medium
143,Ashlee Tyler,52,France,94475,low
144,Kelsey Lee,33,France,40178,low
145,Isaac Jenkins MD,84,France,102469,low
146,Rebecca Romero,72,France,41520,high
147,Michael Richardson,82,France,100326,high
148,Shelby Kaufman,80,France,59387,high
149,Katherine Ballard,59,France,65132,low
150,Steve Thornton,31,France,119268,low
151,Mariah Collins,31,France,75292,high
152,Michael Noble,50,France,53961,high
153,Danny Day,64,France,18257,medium
154,Renee Robertson,50,France,46821,high
155,Erica Ruiz,68,France,118429,high
156,Dawn Jackson,80,France,117667,low
157,Jeffrey Blankenship,35,France,66066,low
158,Sharon Matthews,52,France,34410,medium
159,Patrick Howell,37,France,84596,low
160,Kelly Holmes,42,France,111190,low
161,Eric Mitchell,51,France,23162,medium
162,Crystal Johnson,26,France,36731,high
163,Heather Wilson,47,France,69929,high
164,Christopher Leon,27,France,64660,medium
165,Mrs. Amanda Jordan,19,France,102795,high
166,Mark Diaz,36,France,61756,low
167,Ashley Johnson,72,France,75688,high
168,Brandon Jackson,40,France,73917,low
169,Andrew Olsen,73,France,108318,medium
170,Christian Santiago,40,France,97348,high
171,Nicole Juarez,49,France,93513,medium
172,Heather James,36,France,52250,medium
173,Adam Hendrix,63,France,103281,low
174,Jacqueline Morrow,21,France,50658,medium
175,Stacy Gonzales,55,France,53236,medium
176,Monica King,44,France,93113,low
177,William Ward,48,France,113408,medium
178,James Roberts,78,France,69496,medium
179,Jeffrey Watson,35,France,35746,medium
180,Bryce Carroll,85,France,41044,high
181,Benjamin Williamson,44,France,71154,low
182,Sheena Rodriguez,44,France,42462,low
183,Jeffrey West,65,France,59886,medium
184,Dawn Moore,67,France,75169,low
185,Jaime Watts,63,France,111162,high
186,Brandi Holt,45,France,115483,high
187,Denise Navarro,27,France,71805,high
188,Diane Rice,34,France,111877,medium
189,Renee Baker,51,France,21991,high
190,Daniel Young,60,France,94848,low
191,Connie Yang,24,France,49712,low
192,Victoria Ward,73,France,33448,medium
193,Julie Bell,64,France,17630,high
194,Robert Jackson,75,France,32509,high
195,Austin Myers,51,France,20809,low
196,Jared Braun,32,France,87353,low
197,Michael Anderson,70,France,105368,medium
198,Carrie Rivera,41,France,17172,medium
199,Travis Mcdonald,31,France,29095,high
200,Jeanne Moore,78,France,63983,medium
